Token,Hex
primary-800,#BC4015
primary-600,#E85F2F
primary-100,#FBE6DF
accent-700,#0E7490
accent-400,#2FB8E8
neutral-900,#111827
neutral-100,#F1F5F9
success,#15803D
warning,#B45309
danger,#B91C1C
info,#1D4ED8
